filename,xmin,ymin,xmax,ymax,class
f (95).jpg,30,34,115,96,F
f (96).jpg,27,28,126,94,F
f (97).jpg,27,35,118,97,F
f (98).jpg,33,31,129,94,F
f (99).jpg,27,34,124,102,F
g (1).jpg,51,7,111,117,G
g (10).jpg,55,17,111,115,G
g (100).jpg,53,7,108,106,G
g (101).jpg,49,17,104,109,G
g (102).jpg,51,7,112,103,G
g (103).jpg,45,9,107,114,G
g (104).jpg,52,6,113,111,G
g (105).jpg,53,4,112,118,G
g (106).jpg,48,3,107,117,G
g (107).jpg,49,10,107,118,G
g (108).jpg,52,7,109,115,G
g (109).jpg,46,9,98,111,G
g (11).jpg,63,38,104,110,G
g (110).jpg,58,10,107,102,G
g (111).jpg,54,6,104,102,G
g (112).jpg,61,9,115,108,G
g (113).jpg,53,6,109,108,G
g (114).jpg,53,5,107,110,G
g (115).jpg,48,7,104,103,G
g (116).jpg,56,17,106,106,G
g (117).jpg,55,22,103,111,G
g (118).jpg,50,16,100,105,G
g (119).jpg,56,20,100,107,G
g (12).jpg,58,38,102,112,G
g (120).jpg,52,7,102,111,G
g (121).jpg,51,11,102,110,G
g (122).jpg,50,10,99,109,G
g (123).jpg,53,2,104,110,G
g (124).jpg,58,11,102,100,G
g (125).jpg,51,13,107,109,G
g (126).jpg,59,32,101,104,G
g (127).jpg,43,15,95,105,G
g (128).jpg,51,43,90,103,G
g (129).jpg,50,25,101,106,G
g (13).jpg,54,37,99,114,G
g (130).jpg,46,10,89,102,G
g (14).jpg,51,27,103,111,G
g (15).jpg,69,35,112,118,G
g (16).jpg,72,44,110,115,G
g (17).jpg,53,25,103,120,G
g (18).jpg,77,37,117,117,G
g (19).jpg,67,29,111,116,G
g (2).jpg,56,16,109,112,G
g (20).jpg,61,10,108,109,G
g (21).jpg,59,19,104,115,G
g (22).jpg,59,5,109,113,G
g (23).jpg,59,10,106,112,G
g (24).jpg,62,15,103,114,G
g (25).jpg,67,42,103,114,G
g (26).jpg,69,52,101,112,G
g (27).jpg,67,36,104,111,G
g (28).jpg,62,16,109,112,G
g (29).jpg,77,53,107,113,G
g (3).jpg,52,15,106,111,G
g (30).jpg,69,21,114,108,G
g (31).jpg,56,17,104,109,G
g (32).jpg,57,0,116,105,G
g (33).jpg,57,7,114,108,G
g (34).jpg,69,19,119,108,G
g (35).jpg,63,47,100,110,G
g (36).jpg,61,33,104,108,G
g (37).jpg,68,46,102,111,G
g (38).jpg,59,43,95,109,G
g (39).jpg,58,19,107,106,G
g (4).jpg,54,18,108,114,G
g (40).jpg,55,17,104,103,G
g (41).jpg,67,40,100,99,G
g (42).jpg,63,23,107,104,G
g (43).jpg,70,31,107,97,G
g (44).jpg,62,5,111,101,G
g (45).jpg,59,36,103,105,G
g (46).jpg,63,19,119,112,G
g (47).jpg,71,30,117,108,G
g (48).jpg,64,35,107,109,G
g (49).jpg,61,10,116,106,G
g (5).jpg,56,15,114,108,G
g (50).jpg,52,24,98,108,G
g (51).jpg,63,35,104,109,G
g (52).jpg,65,24,106,102,G
g (53).jpg,73,54,103,108,G
g (54).jpg,69,52,101,109,G
g (55).jpg,63,41,100,115,G
g (56).jpg,55,31,101,112,G
g (57).jpg,73,42,113,114,G
g (58).jpg,75,50,111,113,G
g (59).jpg,63,34,103,109,G
g (6).jpg,67,37,112,109,G
g (60).jpg,68,37,110,111,G
g (61).jpg,74,45,109,108,G
g (62).jpg,71,37,111,109,G
g (63).jpg,65,41,107,113,G
g (64).jpg,56,38,97,112,G
g (65).jpg,65,26,118,109,G
g (66).jpg,62,21,115,108,G
g (67).jpg,61,28,110,108,G
g (68).jpg,56,19,111,109,G
g (69).jpg,66,36,111,111,G
g (7).jpg,56,13,114,109,G
g (70).jpg,72,40,114,111,G
g (71).jpg,72,38,110,104,G
g (72).jpg,67,28,111,106,G
g (73).jpg,70,29,117,112,G
g (74).jpg,66,19,116,109,G
g (75).jpg,50,0,110,117,G
g (76).jpg,55,15,113,117,G
g (77).jpg,67,14,114,103,G
g (78).jpg,51,5,107,112,G
g (79).jpg,52,13,116,115,G
g (8).jpg,67,33,114,111,G
g (80).jpg,59,19,108,103,G
g (81).jpg,58,18,115,108,G
g (82).jpg,56,15,107,102,G
g (83).jpg,55,15,107,99,G
g (84).jpg,52,16,103,99,G
g (85).jpg,56,13,109,115,G
g (86).jpg,61,14,112,110,G
g (87).jpg,63,8,113,104,G
g (88).jpg,63,16,109,102,G
g (89).jpg,63,10,110,96,G
g (9).jpg,56,10,113,115,G
g (90).jpg,52,22,108,108,G
g (91).jpg,51,26,103,104,G
g (92).jpg,52,22,111,105,G
g (93).jpg,56,25,105,97,G
g (94).jpg,56,16,112,103,G
g (95).jpg,57,8,105,91,G
g (96).jpg,58,16,105,94,G
g (97).jpg,51,19,99,91,G
g (98).jpg,57,10,106,100,G
g (99).jpg,50,12,103,96,G
h (1).jpg,48,19,124,105,H
h (10).jpg,55,21,126,111,H
h (100).jpg,49,14,118,98,H
h (101).jpg,53,12,123,96,H
h (102).jpg,56,2,134,112,H
h (103).jpg,52,1,129,111,H
h (104).jpg,52,6,119,102,H
h (105).jpg,45,4,117,99,H
h (106).jpg,46,6,117,102,H
h (107).jpg,46,6,115,99,H
h (108).jpg,48,3,119,99,H
h (109).jpg,48,1,122,99,H
h (11).jpg,55,15,121,105,H
h (110).jpg,48,4,130,102,H
h (111).jpg,47,0,133,102,H
h (112).jpg,47,10,125,100,H
h (113).jpg,46,7,126,99,H
h (114).jpg,44,12,117,102,H
h (115).jpg,46,13,122,99,H
h (116).jpg,43,17,118,103,H
h (117).jpg,49,13,124,93,H
h (118).jpg,44,12,116,96,H
h (119).jpg,47,16,118,96,H
h (12).jpg,56,25,117,111,H
h (120).jpg,46,10,119,99,H
h (121).jpg,48,15,118,96,H
h (122).jpg,46,10,125,103,H
h (123).jpg,41,13,117,108,H
h (124).jpg,53,11,127,104,H
h (125).jpg,53,18,118,102,H
h (126).jpg,58,45,104,105,H
h (127).jpg,49,4,128,105,H
h (128).jpg,59,37,108,103,H
h (129).jpg,59,20,116,92,H
h (13).jpg,59,23,127,106,H
h (130).jpg,45,22,110,112,H
h (14).jpg,68,40,122,111,H
h (15).jpg,69,19,147,114,H
h (16).jpg,46,9,136,114,H
h (17).jpg,64,43,122,111,H
h (18).jpg,59,21,134,111,H
h (19).jpg,59,13,144,114,H
h (2).jpg,45,5,133,106,H
h (20).jpg,53,19,128,112,H
h (21).jpg,60,35,122,112,H
h (22).jpg,51,21,119,108,H
h (23).jpg,55,3,143,111,H
h (24).jpg,64,28,131,109,H
h (25).jpg,63,44,120,116,H
h (26).jpg,53,23,123,115,H
h (27).jpg,66,45,120,111,H
h (28).jpg,58,24,128,111,H
h (29).jpg,56,13,133,111,H
h (3).jpg,52,8,124,104,H
h (30).jpg,62,13,114,109,H
h (31).jpg,63,7,115,105,H
h (32).jpg,72,33,111,105,H
h (33).jpg,61,15,109,105,H
h (34).jpg,65,24,111,108,H
h (35).jpg,70,47,123,103,H
h (36).jpg,57,10,138,102,H
h (37).jpg,64,44,118,107,H
h (38).jpg,73,54,118,108,H
h (39).jpg,65,27,131,105,H
h (4).jpg,60,32,121,103,H
h (40).jpg,51,21,126,108,H
h (41).jpg,66,32,124,104,H
h (42).jpg,53,8,133,104,H
h (43).jpg,56,22,125,103,H
h (44).jpg,63,31,124,102,H
h (45).jpg,58,35,122,107,H
h (46).jpg,51,10,133,105,H
h (47).jpg,67,38,124,104,H
h (48).jpg,73,37,128,102,H
h (49).jpg,71,40,126,105,H
h (5).jpg,57,8,144,106,H
h (50).jpg,60,10,131,105,H
h (51).jpg,70,23,128,104,H
h (52).jpg,57,22,121,111,H
h (53).jpg,66,21,132,114,H
h (54).jpg,84,34,142,115,H
h (55).jpg,69,49,113,109,H
h (56).jpg,60,14,125,107,H
h (57).jpg,68,28,123,106,H
h (58).jpg,68,41,113,110,H
h (59).jpg,69,43,118,111,H
h (6).jpg,82,34,147,108,H
h (60).jpg,63,43,124,112,H
h (61).jpg,69,42,129,111,H
h (62).jpg,63,34,134,117,H
h (63).jpg,67,32,134,110,H
h (64).jpg,69,29,135,110,H
h (65).jpg,65,41,127,112,H
h (66).jpg,61,28,134,112,H
h (67).jpg,61,39,121,111,H
h (68).jpg,72,46,125,109,H
h (69).jpg,69,42,128,111,H
h (7).jpg,72,18,150,108,H
h (70).jpg,80,48,126,114,H
h (71).jpg,80,43,125,109,H
h (72).jpg,77,45,123,111,H
h (73).jpg,79,52,117,106,H
h (74).jpg,76,52,112,108,H
h (75).jpg,41,2,129,116,H
h (76).jpg,44,5,122,119,H
h (77).jpg,48,2,122,113,H
h (78).jpg,51,4,131,105,H
h (79).jpg,42,5,123,113,H
h (8).jpg,61,31,124,103,H
h (80).jpg,49,10,129,103,H
h (81).jpg,61,3,133,81,H
h (82).jpg,56,10,128,88,H
h (83).jpg,46,8,121,100,H
h (84).jpg,42,7,123,102,H
h (85).jpg,50,4,132,94,H
h (86).jpg,53,14,128,98,H
h (87).jpg,53,13,129,99,H
h (88).jpg,50,13,130,105,H
h (89).jpg,51,10,130,97,H
h (9).jpg,56,10,139,100,H
h (90).jpg,53,5,138,106,H
h (91).jpg,46,10,129,108,H
h (92).jpg,47,10,125,102,H
h (93).jpg,46,6,129,105,H
h (94).jpg,51,14,124,101,H
h (95).jpg,49,8,131,101,H
h (96).jpg,43,5,124,98,H
h (97).jpg,51,8,128,97,H
h (98).jpg,45,7,123,99,H
h (99).jpg,48,5,128,98,H
i (1).jpg,38,34,133,106,I
i (10).jpg,58,57,122,111,I
i (100).jpg,40,26,119,91,I
i (101).jpg,37,21,121,87,I
i (102).jpg,32,19,124,88,I
i (103).jpg,40,29,119,92,I
i (104).jpg,44,28,126,93,I
i (105).jpg,41,30,136,96,I
i (106).jpg,36,26,133,101,I
i (107).jpg,33,26,132,101,I
i (108).jpg,25,26,127,103,I
i (109).jpg,30,26,131,103,I
i (11).jpg,59,52,129,109,I
i (110).jpg,38,19,122,91,I
i (111).jpg,38,24,117,93,I
i (112).jpg,41,24,117,90,I
i (113).jpg,48,26,115,86,I
i (114).jpg,39,26,115,92,I
i (115).jpg,39,30,111,93,I
i (116).jpg,33,26,109,100,I
i (117).jpg,38,31,111,100,I
i (118).jpg,35,22,114,91,I
i (119).jpg,36,30,116,99,I
i (12).jpg,46,43,121,105,I
i (120).jpg,35,26,117,92,I
i (121).jpg,35,24,119,93,I
i (122).jpg,31,29,118,98,I
i (123).jpg,43,30,124,99,I
i (124).jpg,43,29,125,98,I
i (125).jpg,32,31,106,99,I
i (126).jpg,49,47,101,94,I
i (127).jpg,23,21,118,105,I
i (128).jpg,52,61,97,102,I
i (129).jpg,30,25,119,102,I
i (13).jpg,60,55,132,109,I
i (130).jpg,31,30,94,96,I
i (14).jpg,46,37,140,108,I
i (15).jpg,31,34,108,105,I
i (16).jpg,59,58,118,109,I
i (17).jpg,46,46,119,108,I
i (18).jpg,51,47,124,110,I
i (19).jpg,55,54,117,108,I
i (2).jpg,58,45,149,111,I
i (20).jpg,42,38,123,103,I
i (21).jpg,49,63,110,114,I
i (22).jpg,60,57,121,108,I
i (23).jpg,43,44,124,107,I
i (24).jpg,45,33,132,108,I
i (25).jpg,53,64,109,109,I
i (26).jpg,57,56,119,109,I
i (27).jpg,43,43,119,103,I
i (28).jpg,28,33,116,105,I
i (29).jpg,57,52,128,108,I
i (3).jpg,59,49,134,106,I
i (30).jpg,62,55,124,105,I
i (31).jpg,56,46,136,108,I
i (32).jpg,30,42,131,111,I
i (33).jpg,48,55,125,108,I
i (34).jpg,67,69,124,108,I
i (35).jpg,45,46,113,109,I
i (36).jpg,57,57,109,105,I
i (37).jpg,54,59,107,107,I
i (38).jpg,60,69,105,111,I
i (39).jpg,50,46,113,108,I
i (4).jpg,41,41,128,103,I
i (40).jpg,49,49,118,109,I
i (41).jpg,73,67,120,106,I
i (42).jpg,41,34,127,103,I
i (43).jpg,58,60,114,108,I
i (44).jpg,51,45,122,102,I
i (45).jpg,69,56,121,104,I
i (46).jpg,67,51,123,105,I
i (47).jpg,59,48,124,108,I
i (48).jpg,48,45,117,105,I
i (49).jpg,47,34,130,108,I
i (5).jpg,54,46,132,109,I
i (50).jpg,65,66,128,108,I
i (51).jpg,43,52,127,111,I
i (52).jpg,73,68,128,110,I
i (53).jpg,44,46,122,102,I
i (54).jpg,47,42,125,99,I
i (55).jpg,62,68,119,107,I
i (56).jpg,57,59,128,107,I
i (57).jpg,56,55,132,109,I
i (58).jpg,51,48,134,105,I
i (59).jpg,65,61,133,111,I
i (6).jpg,82,60,140,105,I
i (60).jpg,74,62,126,110,I
i (61).jpg,51,42,123,111,I
i (62).jpg,53,61,105,111,I
i (63).jpg,45,41,121,110,I
i (64).jpg,69,64,122,109,I
i (65).jpg,76,66,125,111,I
i (66).jpg,62,46,126,106,I
i (67).jpg,79,65,131,113,I
i (68).jpg,82,60,135,108,I
i (69).jpg,64,46,128,106,I
i (7).jpg,63,61,119,106,I
i (70).jpg,54,67,117,111,I
i (71).jpg,59,54,126,102,I
i (72).jpg,46,58,107,100,I
i (73).jpg,56,71,109,107,I
i (74).jpg,51,58,113,105,I
i (75).jpg,38,22,129,87,I
i (76).jpg,34,20,128,89,I
i (77).jpg,39,29,119,88,I
i (78).jpg,41,22,118,79,I
i (79).jpg,28,15,117,84,I
i (8).jpg,79,51,147,108,I
i (80).jpg,52,27,116,84,I
i (81).jpg,54,28,112,76,I
i (82).jpg,51,26,118,79,I
i (83).jpg,40,22,118,85,I
i (84).jpg,42,28,119,85,I
i (85).jpg,40,25,110,82,I
i (86).jpg,50,25,115,88,I
i (87).jpg,39,21,121,93,I
i (88).jpg,38,22,127,93,I
i (89).jpg,44,28,123,94,I
i (9).jpg,66,51,129,105,I
i (90).jpg,38,40,110,96,I
i (91).jpg,32,39,106,96,I
i (92).jpg,34,29,116,94,I
i (93).jpg,38,40,113,97,I
i (94).jpg,55,32,123,88,I
i (95).jpg,41,26,118,85,I
i (96).jpg,45,34,116,88,I
i (97).jpg,46,33,117,93,I
i (98).jpg,38,32,108,89,I
i (99).jpg,43,31,111,88,I
j (1).jpg,18,45,141,102,J
j (10).jpg,25,61,132,106,J
j (100).jpg,13,36,127,90,J
j (101).jpg,15,31,129,85,J
j (102).jpg,12,33,128,87,J
j (103).jpg,10,39,118,93,J
j (104).jpg,15,41,120,92,J
j (105).jpg,12,40,128,90,J
j (106).jpg,12,39,133,93,J
j (107).jpg,8,34,137,90,J
j (108).jpg,3,39,131,93,J
j (109).jpg,12,41,132,92,J
j (11).jpg,14,55,136,106,J
j (110).jpg,20,31,134,91,J
j (111).jpg,17,35,134,94,J
j (112).jpg,15,32,127,92,J
j (113).jpg,13,41,126,95,J
j (114).jpg,20,36,136,90,J
j (115).jpg,17,32,132,95,J
j (116).jpg,15,37,127,91,J
j (117).jpg,15,45,124,99,J
j (118).jpg,13,43,120,94,J
j (119).jpg,21,41,129,95,J
j (12).jpg,36,59,126,101,J
j (120).jpg,6,30,124,87,J
j (121).jpg,20,42,130,90,J
j (122).jpg,18,40,126,90,J
j (123).jpg,16,42,132,96,J
j (124).jpg,21,42,132,93,J
j (125).jpg,25,64,118,103,J
j (126).jpg,7,38,133,94,J
j (127).jpg,46,75,109,102,J
j (128).jpg,1,31,138,90,J
j (129).jpg,42,67,113,99,J
j (13).jpg,20,49,134,100,J
j (130).jpg,17,40,112,82,J
j (14).jpg,45,66,136,108,J
j (15).jpg,23,53,131,113,J
j (16).jpg,41,64,126,109,J
j (17).jpg,58,72,129,111,J
j (18).jpg,56,70,134,112,J
j (19).jpg,22,55,138,111,J
j (2).jpg,41,61,139,108,J
j (20).jpg,51,64,138,103,J
j (21).jpg,22,41,139,97,J
j (22).jpg,67,68,149,106,J
j (23).jpg,47,63,129,99,J
j (24).jpg,24,55,142,108,J
j (25).jpg,24,51,139,111,J
j (26).jpg,38,56,135,109,J
j (27).jpg,61,72,134,111,J
j (28).jpg,23,49,131,109,J
j (29).jpg,61,66,136,111,J
j (3).jpg,5,30,140,96,J
j (30).jpg,21,61,133,108,J
j (31).jpg,18,51,137,99,J
j (32).jpg,20,54,130,99,J
j (33).jpg,19,51,139,99,J
j (34).jpg,27,62,139,107,J
j (35).jpg,20,37,134,97,J
j (36).jpg,39,54,128,102,J
j (37).jpg,30,50,129,101,J
j (38).jpg,30,52,128,102,J
j (39).jpg,52,66,124,105,J
j (4).jpg,51,61,144,106,J
j (40).jpg,25,59,117,98,J
j (41).jpg,34,51,127,93,J
j (42).jpg,6,34,127,87,J
j (43).jpg,20,48,123,93,J
j (44).jpg,41,59,116,92,J
j (45).jpg,51,70,128,108,J
j (46).jpg,46,67,123,108,J
j (47).jpg,20,49,129,105,J
j (48).jpg,33,58,125,102,J
j (49).jpg,28,52,123,99,J
j (5).jpg,5,46,141,108,J
j (50).jpg,33,73,117,106,J
j (51).jpg,8,58,122,105,J
j (52).jpg,42,67,126,102,J
j (53).jpg,22,54,133,102,J
j (54).jpg,32,64,134,109,J
j (55).jpg,25,61,118,100,J
j (56).jpg,41,74,128,113,J
j (57).jpg,30,67,132,114,J
j (58).jpg,26,65,129,112,J
j (59).jpg,36,76,117,114,J
j (6).jpg,23,57,137,108,J
j (60).jpg,21,52,122,103,J
j (61).jpg,48,73,120,109,J
j (62).jpg,24,57,120,105,J
j (63).jpg,43,70,118,108,J
j (64).jpg,24,57,121,105,J
j (65).jpg,40,63,122,102,J
j (66).jpg,53,69,127,105,J
j (67).jpg,40,69,130,111,J
j (68).jpg,49,73,118,105,J
j (69).jpg,18,53,127,104,J
j (7).jpg,39,62,132,103,J
j (70).jpg,46,58,131,99,J
j (71).jpg,23,54,127,102,J
j (72).jpg,43,65,124,104,J
j (73).jpg,48,60,129,99,J
j (74).jpg,47,58,128,97,J
j (75).jpg,5,34,129,90,J
j (76).jpg,18,34,133,88,J
j (77).jpg,25,43,124,88,J
j (78).jpg,29,37,120,81,J
j (79).jpg,22,36,119,84,J
j (8).jpg,30,54,138,99,J
j (80).jpg,25,35,128,86,J
j (81).jpg,22,34,128,85,J
j (82).jpg,24,35,129,86,J
j (83).jpg,20,41,123,89,J
j (84).jpg,25,28,129,79,J
j (85).jpg,20,28,135,82,J
j (86).jpg,21,31,132,84,J
j (87).jpg,23,36,124,81,J
j (88).jpg,22,36,128,84,J
j (89).jpg,18,40,128,91,J
j (9).jpg,8,51,140,105,J
j (90).jpg,22,33,121,81,J
j (91).jpg,21,32,118,79,J
j (92).jpg,20,34,118,81,J
j (93).jpg,25,33,130,81,J
j (94).jpg,30,37,130,82,J
j (95).jpg,20,34,126,79,J
j (96).jpg,23,43,127,87,J
j (97).jpg,21,39,127,81,J
j (98).jpg,11,29,128,82,J
j (99).jpg,19,41,124,85,J
